timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1643846163,4167768157.211356362862040325989218,11135939435.87776089472357778638705,11135939435.87776089472357778638705
1643932584,4153577753.462145693173101521792374,11081778130.10450062704633819679455,11081778130.10450062704633819679455
1644019161,4151985248.186410839799670261975671,11439136489.49146603880306125664755,11439136489.49146603880306125664755
1644105466,4171543133.914819426791087959119958,11775304870.83773080797944188435057,11775304870.83773080797944188435057
1644191997,4233512411.837069575546616102077367,11874230913.59840418267424685989524,11874230913.59840418267424685989524
1644278311,4204060654.951394786948314586883402,12193035691.06659047828959458330396,12193035691.06659047828959458330396
1644364007,4220940891.777200462841980448940976,12136773133.99399734995277447499035,12136773133.99399734995277447499035
1644450925,4247932782.149179282789458981298868,12438532523.56324654380198216512302,12438532523.56324654380198216512302
1644537567,4510719784.900640845184639524971357,12547771718.87532375731078271290245,12547771718.87532375731078271290245
1644623845,4534444551.842948569050218882440997,12449393160.82863872930384286108039,12449393160.82863872930384286108039
1644709224,4498829928.807386226824268641555467,12461854200.64093878945170773892346,12461854200.64093878945170773892346
1644796372,4498609972.519330188780675846918533,12470768901.33935198406221213112574,12470768901.33935198406221213112574
1644883167,4517461564.989961738860989113006559,12437885097.52250909442001867352876,12437885097.52250909442001867352876
1644969430,4489465377.41589851893452046316447,12847474961.76904985814778757160451,12847474961.76904985814778757160451
1645055978,4469148846.864055657005936945068394,12792975025.73720760943345178965546,12792975025.73720760943345178965546
1645142205,4485603744.926867571025025118680388,12333197474.39885345853436002298785,12333197474.39885345853436002298785
1645227909,4487029155.978971293377427420618015,12206248115.99733914461937373103355,12206248115.99733914461937373103355
1645314837,4495702864.811018939711400480875759,12156315812.13131845889023957482156,12156315812.13131845889023957482156
1645401357,4458663679.868072645710496178672806,11885295368.27879483466247522264778,11885295368.27879483466247522264778
1645487989,3720276914.101001195367735995358104,10868051946.64812053818353726497983,10868051946.64812053818353726497983
1645574155,3686816439.870071081536099255256544,10967662624.02400488858685408065756,10967662624.02400488858685408065756
1645660165,3639715958.27519297642518980269364,10794855858.88432955153916588602581,10794855858.88432955153916588602581
1645747154,3588989975.841368606476880900870291,10866836320.47727676254315246643652,10866836320.47727676254315246643652
1645833567,3293073327.944972606975334404153771,10819583949.61748611428502368988314,10819583949.61748611428502368988314
1645919989,3286302321.523188870819482182954844,10799969748.49295844205352210436821,10799969748.49295844205352210436821
1646005858,3118002155.838513351263012117148975,10259251124.37369590843801418594219,10259251124.37369590843801418594219
1646092605,3266760084.834260565703638881353272,10899268223.36791550397476099563868,10899268223.36791550397476099563868
1646178967,3329804719.086967767710246274932106,11100111618.49861625498655293440111,11100111618.49861625498655293440111
1646265592,3210541584.340111374283385117389616,10841440190.73898075451617744939753,10841440190.73898075451617744939753
1646351207,3331012787.731129593029378066101397,10796048562.74800518657473629373086,10796048562.74800518657473629373086
1646437683,3333586201.032633413643177427324442,10447357068.51494949772735145420772,10447357068.51494949772735145420772
1646524633,3338952869.083278188028152570395621,10547821758.80752325217166352557318,10547821758.80752325217166352557318
1646610906,3343996591.433643038089056284890654,10501222855.54521762670645142391377,10501222855.54521762670645142391377
1646697424,3331001385.45092443825688790880913,10396522847.29563367014704768366337,10396522847.29563367014704768366337
1646783719,3329350741.161153831247282399383121,10548786144.85585803718605939120937,10548786144.85585803718605939120937
1646870277,3358773573.79087495575853478543098,10920937578.24067515275005328179894,10920937578.24067515275005328179894
1646956794,3331535371.654749893451677396549691,10700763643.92505778628271787729494,10700763643.92505778628271787729494
1647042952,3332166130.97810974031270732126162,10358580608.2101787736976158826136,10358580608.2101787736976158826136
1647129374,3341539268.098018581309412135542782,10501408450.14031036323589553636057,10501408450.14031036323589553636057
1647215937,3307309806.399312868649003752501778,10275409498.46827158157847851639655,10275409498.46827158157847851639655
1647302340,3335189732.470436655987658107107145,10448211377.12496646991451226443541,10448211377.12496646991451226443541
1647388747,3661835650.229185242385576797086028,10995387768.56065845427798648107362,10995387768.56065845427798648107362
1647475077,3811837469.72325707356392869367479,11547226748.94282072977449867186988,11547226748.94282072977449867186988
1647561506,3838298234.041471156217832835832526,11714922123.46723363129923700356145,11714922123.46723363129923700356145
1647647987,3921137042.738984553216277887412461,12139332720.55943498806179617557233,12139332720.55943498806179617557233
1647734141,3868236923.843084598520629681410282,12255081257.84178841472229697845293,12255081257.84178841472229697845293
1647820564,3929884367.109185088165787360376787,12277595917.24700664061828576898347,12277595917.24700664061828576898347
1647907118,4148576820.677121820896179834995151,12586744387.24482694421035603097785,12586744387.24482694421035603097785
1647993106,4311542770.91045019128712504180491,12877721763.45536246161613039145291,12877721763.45536246161613039145291
1648079951,4338621721.775755242489132313946614,12889847681.27218020323589241442837,12889847681.27218020323589241442837
1648166296,4366444608.051325813526289266630327,13114764904.18309412362252484940105,13114764904.18309412362252484940105
1648252561,4474709405.814852069710084629427142,13255192502.38793154159439115262945,13255192502.38793154159439115262945
1648339051,4482638368.286526772614882194271094,13296538266.91245483445196989916834,13296538266.91245483445196989916834
1648425471,4582855889.630262963078534241684253,13759275314.6895677889025539911268,13759275314.6895677889025539911268
1648511968,4848480859.988835772700862480865855,14218573000.00916009704824197041955,14218573000.00916009704824197041955
1648597991,4966197281.087414280538657379886589,14591931772.19404580402822294347296,14591931772.19404580402822294347296
1648684578,5083411466.366160591832678683642434,14694600707.46783487668986135173874,14694600707.46783487668986135173874
1648771147,5205061572.66221277015751577339875,14574652606.74408997727235745420406,14574652606.74408997727235745420406
1648857574,5306402250.109128574760744951487547,15125746977.91566405273718223005711,15125746977.91566405273718223005711
1648943935,5338243880.37918070394290255816573,15119386230.092021526434995603458,15119386230.092021526434995603458
1649030374,5425223896.834677975145916431540056,15417274701.54186215266975142867385,15417274701.54186215266975142867385
1649116608,5473596749.638344241009212442154099,15421125833.48690564312872257147983,15421125833.48690564312872257147983
1649203085,5530161632.253027774024962806412772,15620290131.13288735567597941473356,15620290131.13288735567597941473356
1649289571,5543302044.861845943611193158380338,15013058342.64502775353404235506383,15013058342.64502775353404235506383
1649375910,5604542321.277062579327767156285845,15301269122.71804001661945055278848,15301269122.71804001661945055278848
1649462374,5694261111.150059186701666841085269,15219767093.10039224845377910130717,15219767093.10039224845377910130717
1649548768,5751562963.970500103877117001999845,15355252985.13619824979825049783693,15355252985.13619824979825049783693
1649635158,5757930020.546339592215863474288224,15338329839.53122540551519830201793,15338329839.53122540551519830201793
1649721585,5691579147.889993000545147911479121,14814765022.25112449500859433417016,14814765022.25112449500859433417016
1649807936,5749777087.783903624229268245138939,15003015531.35926920201317464332758,15003015531.35926920201317464332758
1649894356,5889301861.69816036719076102960907,15537224309.71485976365071064102668,15537224309.71485976365071064102668
1649980768,5874003497.802432445791495328876329,15290177833.08585716277636288744557,15290177833.08585716277636288744557
1650067107,5934818636.46670890845151155252534,15422329931.9393502466506661400568,15422329931.9393502466506661400568
1650153577,5874764572.079121892841605345728644,15499310489.47414198925548237835597,15499310489.47414198925548237835597
1650239986,5910786222.097732289142014287404027,15494612923.9230372734704991335622,15494612923.9230372734704991335622
1650326351,5923186033.365315618722990778974262,15521089707.10035071031441593372034,15521089707.10035071031441593372034
1650412797,5999322722.114194809916902438199517,15745236816.07635368429724477937669,15745236816.07635368429724477937669
1650498797,5985767580.021889520693083515987735,15649728438.01289269018734226559398,15649728438.01289269018734226559398
1650585383,6011751857.378395391545317856434833,15487750775.14804978025094566945914,15487750775.14804978025094566945914
1650671822,6019984230.116113898494875218420909,15533573267.30537363728207843862728,15533573267.30537363728207843862728
1650758399,5999106242.490393908562607051670515,15400739853.82704346960717050726614,15400739853.82704346960717050726614
1650844173,5954340119.372302997332372865185568,15569376418.23310322907258783750425,15569376418.23310322907258783750425
1650931148,5923255670.127202191822125540605925,15764666695.53952640330002968556497,15764666695.53952640330002968556497
1651017564,5870450178.452335299040081285264661,15292485676.28199176911045068047245,15292485676.28199176911045068047245
1651103939,5891719266.059520943510689927957595,15548711879.11998739127109800343496,15548711879.11998739127109800343496
1651190386,5907325183.185589689984634778034517,15560532462.33248375626984834443986,15560532462.33248375626984834443986
1651276672,5774037133.345535089840033007402232,15138532577.54180191559624817160251,15138532577.54180191559624817160251
1651363147,5723540036.281766005044869682122534,14974845553.05296653047907989141198,14974845553.05296653047907989141198
1651449218,5695095044.403279858969790042453236,15231544569.59878273916887957357627,15231544569.59878273916887957357627
1651535677,5851688296.946055692611708830252337,15500915045.34393361763563819534244,15500915045.34393361763563819534244
1651621919,5882210695.930557068389690799403494,15486627852.83848356267771153560107,15486627852.83848356267771153560107
1651708463,5997178878.342451234110474502857141,15876381396.81483046659517595644122,15876381396.81483046659517595644122
1651794998,5874271186.562264476092893958067056,15400947524.56551874961018815722585,15400947524.56551874961018815722585
1651881555,5893328457.864906700703234485943733,15411903297.21239038828085423892249,15411903297.21239038828085423892249
1651967996,5828181115.557319325051823375550981,15181136542.40648524919821871484119,15181136542.40648524919821871484119
1652054394,5231341035.494077789041373250795883,14361463728.16933779452000721323154,14361463728.16933779452000721323154
1652140737,4280402712.889747098351160665933243,12613193596.29390425172779157536412,12613193596.29390425172779157536412
1652227159,4372789263.512029300681492698294715,12693812176.21567006162802367230995,12693812176.21567006162802367230995
1652313592,4340581741.133061548414923164442242,11902191180.45992911059281588020572,11902191180.45992911059281588020572
1652399797,3724975441.210925931696165072860398,10847881738.56918129294876966889024,10847881738.56918129294876966889024
1652486180,3525740764.790829226044532652233075,10876194891.56570506418108650640165,10876194891.56570506418108650640165
1652572799,3484591438.939737455392797424668005,10873323516.19703600193117661957327,10873323516.19703600193117661957327
1652659072,3596917955.628666413860290895765068,11319245908.55311507478812471108226,11319245908.55311507478812471108226
1652745591,3570148711.654105217998229796857254,10804394236.42291871033778359422118,10804394236.42291871033778359422118
1652831981,3432407216.320544016901757146827678,11064579470.84672670531440996058868,11064579470.84672670531440996058868
1652918298,3356960793.494983724355799568054715,10544311884.56352652159094183349955,10544311884.56352652159094183349955
1653004769,3454744904.541611117719505028516424,10949944847.79718201763802168250187,10949944847.79718201763802168250187
1653090949,3435961397.278577823673340151206524,10503592497.65039324304121277029696,10503592497.65039324304121277029696
1653177454,3337361780.803370085984459829864837,10363980851.74210075686933390251153,10363980851.74210075686933390251153
1653263838,3374405391.067681133931155739618895,10940132802.15274815105688509627044,10940132802.15274815105688509627044
1653350335,3468167980.288540182536519297276222,11155779786.71738548155598383931447,11155779786.71738548155598383931447
1653436503,3492555338.881848032157211986394789,11192582906.74110522029743793037559,11192582906.74110522029743793037559
1653523148,3291784899.201212396298202479423354,10927384535.08237001364878477707193,10927384535.08237001364878477707193
1653609406,3296965298.14616197060378278211886,10748438530.2550595599640881265333,10748438530.2550595599640881265333
1653695869,3128061155.305509462068901183397157,10501627081.09096178994340555245907,10501627081.09096178994340555245907
1653782393,3127125506.194051888643080709809559,10680998994.77321838632190145363958,10680998994.77321838632190145363958
1653868755,3129147120.908046276171832764235746,10613473793.08748772319973779957055,10613473793.08748772319973779957055
