timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1557266749,586.9795413895635151936682820348109,10143.19657764109733050989340556288,10143.19657764109733050989340556288
1557359676,4718.693649828499947795980005961374,14892.6259291280424938882884941213,14892.6259291280424938882884941213
1557435375,5818.155229137823039273131228803564,18252.63642532909760317964268186809,18252.63642532909760317964268186809
1557519596,5852.302248437856624014342414176232,18558.52396577091686482005294238791,18558.52396577091686482005294238791
1557618212,6179.203271931752366334804592006671,20039.6223732804634064191268310697,20039.6223732804634064191268310697
1557791678,6308.128252855043437221969763460148,20145.38958956397015008612008628363,20145.38958956397015008612008628363
1557873111,6338.36934734143592882080731642258,20691.77212638486997002280949966469,20691.77212638486997002280949966469
1557964597,8563.65842503963861236045070529179,41335.42354276822018007424994926545,41335.42354276822018007424994926545
1558045575,11259.36910728626677335325495614557,45408.5512142323153256265070891881,45408.5512142323153256265070891881
1558131908,11545.03869951146049055643523755556,36981.25790851632485316543503366878,36981.25790851632485316543503366878
1558206105,8697.844604035379742097828623158014,36140.24614312922896543836109646156,36140.24614312922896543836109646156
1558289783,8781.212163645556606147572103171909,35480.84305132963771486200132697437,35480.84305132963771486200132697437
1558393438,8915.345117182837381230773666010264,39109.63036629944417962513774587776,39109.63036629944417962513774587776
1558481664,16175.85912030913675572632232525903,51748.52013214858005946445521616029,51748.52013214858005946445521616029
1558567693,17449.32956668874549824080683453047,58327.3009449748459834517186850737,58327.3009449748459834517186850737
1558655958,1202018.534482018896140752379107216,4659223.391037443371183329350027142,4659223.391037443371183329350027142
1558742182,2320594.849866551494325810831468193,13253572.76660356703285499154633128,13253572.76660356703285499154633128
1558828616,3452025.770239641232666973472638032,15063099.98629987050433471265777184,15063099.98629987050433471265777184
1558914716,4676207.48608489757236077491220434,17494148.02674381496612101252198395,17494148.02674381496612101252198395
1559001575,4836572.629493845254860762626041915,19577112.69808948896540740091273207,19577112.69808948896540740091273207
1559087735,5502548.111271921147126039121887386,23127225.26452640863087766456548198,23127225.26452640863087766456548198
1559174254,5796960.957197098603651993092224356,23563357.21365455946498751184902411,23563357.21365455946498751184902411
1559260609,5942007.160921674081489087861089335,22532371.81548854747193443955169935,22532371.81548854747193443955169935
1559347083,6319391.655628843274088707086028866,25072022.18746262347507080115634923,25072022.18746262347507080115634923
1559433493,6312298.367198910888032688549939937,25251152.17579368624645199751012354,25251152.17579368624645199751012354
1559519721,6646404.546159795508704497407413067,26576800.88564157209209692263369666,26576800.88564157209209692263369666
1559606327,6603612.638603675925831243227950382,26619866.05991894464271253249897641,26619866.05991894464271253249897641
1559692798,6549128.675672350598507146589234033,26123551.70847890435837511492612525,26123551.70847890435837511492612525
1559779056,6591822.588867302377517409808492842,26919004.93150003534622990231359709,26919004.93150003534622990231359709
1559865537,6698233.830236178141596864518792313,28092487.39228020654246145854472807,28092487.39228020654246145854472807
1559951471,6792850.857320562856580532091076493,27995691.67041512784144933852590236,27995691.67041512784144933852590236
1560037956,6761914.076307424178320293742651468,27457463.21431101099626592289695575,27457463.21431101099626592289695575
1560124673,6743179.09347486740725920653365866,26628640.02819582514374168120544535,26628640.02819582514374168120544535
1560211141,7997649.185191821603493792432246516,31667654.19722649694318271522293507,31667654.19722649694318271522293507
1560296607,7995150.572577671089005788541229801,32431400.1245835363395526206956214,32431400.1245835363395526206956214
1560383961,8212570.178770120658272763644809173,33011921.60933047085197760926392119,33011921.60933047085197760926392119
1560470146,8349216.551694167319031214548489138,33075496.18048437761717867445177944,33075496.18048437761717867445177944
1560555904,8472835.718158015347183551323328465,34666041.07350983967443969037583358,34666041.07350983967443969037583358
1560643155,8530844.097425684498435603599555244,35543197.9888038517113603987351869,35543197.9888038517113603987351869
1560729484,8598021.245968485943557780072083699,35826941.87628746124724884217279696,35826941.87628746124724884217279696
1560815935,8809516.670646847355307502102735489,36931749.99843615543152670849379102,36931749.99843615543152670849379102
1560902052,9008932.935955129339299026667746608,36908477.99692742817155113869188213,36908477.99692742817155113869188213
1560988760,9096643.096715162396186928326602831,37929526.16970020485302605439480831,37929526.16970020485302605439480831
1561074538,9196364.847751992765949783003118193,38285209.04187674290215209440941068,38285209.04187674290215209440941068
1561161538,9540419.998660546654241498710298709,40708590.5709171472214044747107889,40708590.5709171472214044747107889
1561247773,10152777.21605798998147072140584788,42007251.59231534058894539965357125,42007251.59231534058894539965357125
1561334378,10161873.59625076736904078672306129,42129042.79834593146004005285567714,42129042.79834593146004005285567714
1561420560,10009754.94738842845578833916420157,42972323.77055701437156449832815236,42972323.77055701437156449832815236
1561507182,10826849.218362393342494305807049,48297769.16710359310165723236301661,48297769.16710359310165723236301661
1561593492,10807778.48310242566265833970062863,51151944.26754194377442159484069836,51151944.26754194377442159484069836
1561679973,10987907.24919532001708798033078309,48160007.5486613323026768259150376,48160007.5486613323026768259150376
1561766219,11041692.53001756169758436695314078,52035518.24718041709217409791057812,52035518.24718041709217409791057812
1561852589,11133647.9213297872481645955455155,52902614.74338055637202541907378644,52902614.74338055637202541907378644
1561938895,11039190.07938370447760822661009448,50259943.01025084949012445587859124,50259943.01025084949012445587859124
1562025553,11094015.90148270650224365030369135,50812142.80712862002595092903432434,50812142.80712862002595092903432434
1562111676,11313744.44913458892393563879779231,50758415.1947147907786741940478828,50758415.1947147907786741940478828
1562198030,12595321.05699952020859816826930538,56282265.41124613990566736124353592,56282265.41124613990566736124353592
1562284702,14326016.04054204007197637572740978,58543260.83696042516522816595128363,58543260.83696042516522816595128363
1562370861,14468661.24026609935489062187338241,61336569.51427353543599673355614136,61336569.51427353543599673355614136
1562456941,14858943.68155802252176770851043158,62521739.66125875075920045122818893,62521739.66125875075920045122818893
1562543979,14941565.4213105578359856673648166,65276858.88849668966946950075566737,65276858.88849668966946950075566737
1562630221,15237686.29990098420482875602639262,66613055.90089468171752607020644366,66613055.90089468171752607020644366
1562716771,15630810.10597988498332408506288818,66968524.17391214420571738495743361,66968524.17391214420571738495743361
1562803176,16165271.58089768915515276639279946,65090695.11352661012119486368933743,65090695.11352661012119486368933743
1562889512,16641837.49661515080387430838251787,63693142.85561556821754463881458562,63693142.85561556821754463881458562
1562975794,17680417.8614813300714685926413936,67591800.74602426899981945599675373,67591800.74602426899981945599675373
1563062039,17743973.90472758306141887556700139,67101859.38288105243646832306822208,67101859.38288105243646832306822208
1563148791,19455024.50600549736291636485931146,68449200.85498538020225062118925356,68449200.85498538020225062118925356
1563235071,20361724.68690275992970584504954285,76330565.08775371949462468247807136,76330565.08775371949462468247807136
1563321534,20833721.08324496000189571444047429,71679439.48444391319482158786438981,71679439.48444391319482158786438981
1563407961,23358199.17498982932492148722633729,82042471.09445292075270833492695912,82042471.09445292075270833492695912
1563494386,23729956.53589839848072595182620533,87456697.39968726268352310497896473,87456697.39968726268352310497896473
1563580438,26300911.91068833802959498190018863,94406200.2277408934242582726543927,94406200.2277408934242582726543927
1563667173,26808230.37495468648922507710710293,99512745.62195338647875003875014742,99512745.62195338647875003875014742
1563753449,27102838.22417144026670557709291165,100852406.1562003960291042135751911,100852406.1562003960291042135751911
1563839836,30410274.50924502010085546252059045,107135059.2928045531143495504624019,107135059.2928045531143495504624019
1563926283,32742822.53325031387508193824334739,112040836.5534509084308927286730889,112040836.5534509084308927286730889
1564012725,33837878.88372548468712119790471985,116914895.4960533042475797809905,116914895.4960533042475797809905
1564099062,35918723.08657242360148218971674413,121846267.6202502986543823228316557,121846267.6202502986543823228316557
1564185488,37424052.90538290592169916685330864,129854960.1767070126639212313109069,129854960.1767070126639212313109069
1564271992,37216883.6126514778034565734540212,125527041.7316170646409129223499438,125527041.7316170646409129223499438
1564358392,37793472.17216314120472836493751755,128730112.2817366457348770251580686,128730112.2817366457348770251580686
1564444796,38319613.64119451451831855309223088,127880655.0322257136144660313449445,127880655.0322257136144660313449445
1564531069,39263976.76384529921932947945232991,128902589.5471116915961919244207492,128902589.5471116915961919244207492
1564617591,39252908.5603895628966710916887906,133010830.1710275073848896342183426,133010830.1710275073848896342183426
1564703908,39986708.44968889867497617842623622,135652870.0610010564033894906563565,135652870.0610010564033894906563565
1564790222,39987702.4673806407845741055580276,137510713.4396721292931848480163824,137510713.4396721292931848480163824
1564876631,41732512.99617676471874525351147014,142254935.810527852090619675351387,142254935.810527852090619675351387
1564963081,41749756.47418468054633774554373083,142603473.116467069563620436456932,142603473.116467069563620436456932
1565049533,40856177.77203781930957200371089521,145204449.0898672189810775272438064,145204449.0898672189810775272438064
1565135999,43018018.08131978058407815833422973,146794440.1764301761096237057625888,146794440.1764301761096237057625888
1565222369,43997323.70475105970243653220960463,150474148.4831418956663761235712221,150474148.4831418956663761235712221
1565308587,42832387.83618158713320653321182582,144561203.6021267232474794558052112,144561203.6021267232474794558052112
1565395161,43701163.19183787790039493045268465,142942218.0147873187446848786665082,142942218.0147873187446848786665082
1565481386,43520548.28899872675023925611033727,142246543.8698490492019524542126195,142246543.8698490492019524542126195
1565567924,43837477.92411974424555604605757303,146771743.8032868421667499728666436,146771743.8032868421667499728666436
1565654125,43761992.07360644705874814848333762,146109222.2947680152096099431933763,146109222.2947680152096099431933763
1565740666,44853975.92653065889308169805698429,148170357.8631615294627553854032932,148170357.8631615294627553854032932
1565827176,43120909.0010917469573505321217599,137101716.9399195652152154334909869,137101716.9399195652152154334909869
1565913415,42531603.43041555417149904778144595,142404729.9301382607993467064822867,142404729.9301382607993467064822867
1565999952,43486426.42068297785932531072324099,144287211.5781488243182866157957001,144287211.5781488243182866157957001
1566086353,44049850.66665120206318478433994043,150602783.1059816044857875248065748,150602783.1059816044857875248065748
1566172723,44077648.10930397349719379017112134,154600998.9472795451031857065188148,154600998.9472795451031857065188148
1566259184,44525637.38425808500972846105449894,160163965.0699216934050225992342908,160163965.0699216934050225992342908
1566345583,44564784.00578949618798672151320332,160082896.7631729365528979771812806,160082896.7631729365528979771812806
1566431935,44375033.79141421894059560406992418,155097659.7977912161646915571350741,155097659.7977912161646915571350741
1566518370,44779702.581376563468853390153134,157946081.0326589658771933008856537,157946081.0326589658771933008856537
1566604726,45342091.88289229210515159734367967,160875599.6779034430522638896467666,160875599.6779034430522638896467666
1566691081,46708793.6508145022661200179929695,161946746.6802347835131262498262259,161946746.6802347835131262498262259
1566777547,46266759.16801680496836356614686907,158919019.2866720222351134681752651,158919019.2866720222351134681752651
1566863965,45879982.47731311692440498566776206,160051711.2930777029604472781719241,160051711.2930777029604472781719241
1566950343,45673836.02624349041705182636063778,158499049.8955506262219220724201443,158499049.8955506262219220724201443
1567036798,45311433.13700608401652426176595775,151650149.4685202587849473406076865,151650149.4685202587849473406076865
1567123144,45029319.10075281217046631632147441,150097629.9319135669718055870957745,150097629.9319135669718055870957745
1567209434,44886058.9814483114126160708706254,156126570.9790492333245014346816932,156126570.9790492333245014346816932
1567295942,44995008.18369815412846299748989141,157372308.4907480180511504479275592,157372308.4907480180511504479275592
1567382071,45104785.17132515384411224660351687,159836330.0390571890740476911626546,159836330.0390571890740476911626546
1567468752,44800697.77628491817661083175382306,163669219.2594250697071396876253979,163669219.2594250697071396876253979
1567555153,44280177.65897865085759844013435747,163661153.1981929807900145691373279,163661153.1981929807900145691373279
1567641057,43764147.51770277863622981912564636,159529570.8730944296111107902229261,159529570.8730944296111107902229261
1567727919,44211442.41496063755804169676123546,160700021.4940944941364877472858957,160700021.4940944941364877472858957
1567814399,44416265.44447296147122257953418443,159540312.1599856535477364503601347,159540312.1599856535477364503601347
1567900669,43582723.79903924166100834368863977,162625321.270405450208200070595342,162625321.270405450208200070595342
1567986995,43358307.99445679159480185927329286,164078935.0702112029643155678647003,164078935.0702112029643155678647003
1568073576,43124369.49065994044647082162946562,162159934.4391212223471844226036243,162159934.4391212223471844226036243
1568159761,43326359.20705623428954048590154286,160894665.137003638395171653474119,160894665.137003638395171653474119
1568246395,43107768.50248131627936168141804305,160937804.8990451094185389924943213,160937804.8990451094185389924943213
1568332790,43351811.35211848807666233847048849,163609223.1471439752305666223272031,163609223.1471439752305666223272031
1568419132,44256943.02992081543227198493151918,164451640.8110844763001467589389707,164451640.8110844763001467589389707
1568505138,43728792.30754238731868544774747466,168658188.0463566030210203231076196,168658188.0463566030210203231076196
1568591838,40546428.73620440771995056346749012,156875714.2367508933854992516663161,156875714.2367508933854992516663161
1568678349,40684281.30555375886415134468023019,158513878.0679407115526846838331219,158513878.0679407115526846838331219
1568764663,41199568.94856237652432400680195527,162710150.1869792633752804180904432,162710150.1869792633752804180904432
1568851131,40911330.0064139257715538289118322,163588723.3615927404925852988373074,163588723.3615927404925852988373074
1568937518,40954335.34731754764648279378807793,166178141.6439632470210254190574628,166178141.6439632470210254190574628
