timestamp,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalValueLockedUSD
1639249209,2000,2503.737516944307219698613197150366,2503.737516944307219698613197150366
1639330266,2051.913124475142201923331495133442,2931.673195507879091702240626462667,2931.673195507879091702240626462667
1639439799,92211.16575473949078316916010178942,3940114.167741358280623628448372843,3940114.167741358280623628448372843
1639525243,1866259.935991985561144401993304952,13783215.76485057367678427568880975,13783215.76485057367678427568880975
1639612727,3517718.883512524697959571335396963,18330711.89992772116670715541797367,18330711.89992772116670715541797367
1639689866,4411938.298871153072969046869979775,21245694.39997371463801064813817792,21245694.39997371463801064813817792
1639784596,8680790.61324475766498327491292538,28765885.80489439352158056959640851,28765885.80489439352158056959640851
1639871394,9972302.122798136539798757132846612,30077400.62585090928809506692647937,30077400.62585090928809506692647937
1639948466,10024255.29077774687577585357700664,30144514.4766771525528748178322053,30144514.4766771525528748178322053
1640040227,10124922.12017159134078094369055009,32012354.9797729534917953311438514,32012354.9797729534917953311438514
1640125832,10393297.64661920613053407408306188,35281192.12642911846561691434820604,35281192.12642911846561691434820604
1640217496,10333298.39070409379468826996033716,33687607.16334339121414427119237043,33687607.16334339121414427119237043
1640297313,10761640.45307027962592991144145676,37131834.66037049507678289691786309,37131834.66037049507678289691786309
1640362159,10749787.384763891795494286636135,37187684.98996266817279804911670392,37187684.98996266817279804911670392
1640467776,10793919.97484799764335698326398996,38176689.49362410707514330613623781,38176689.49362410707514330613623781
1640560874,10849532.28189186296582606699156273,38330926.42680449189213143552658871,38330926.42680449189213143552658871
1640645349,11757183.77821957796183717273146927,39690681.45961932857652494464062121,39690681.45961932857652494464062121
1640723161,12053591.73772533061855223403554188,39901556.45136998770291202171238203,39901556.45136998770291202171238203
1640812295,12265495.54555674224294821481864828,39742621.02541673661146812649789046,39742621.02541673661146812649789046
1640905702,11959367.67304473024676196312629505,40455182.17040014118657563152488615,40455182.17040014118657563152488615
1640993644,11987604.72587093430785386839851126,40594955.18924499841960337700876437,40594955.18924499841960337700876437
1641078907,12432846.89672312584119911879508673,41230316.03693716491197676053615127,41230316.03693716491197676053615127
1641154534,12657972.21162086701484173904706835,41966581.76051815430315041292392156,41966581.76051815430315041292392156
1641219792,12527078.58329924139471348753842846,41710931.44944182183944091102943743,41710931.44944182183944091102943743
1641327164,12508490.6930417489878594103558451,43311874.51066571335029275731009327,43311874.51066571335029275731009327
1641425766,12490451.81734445154183016181686024,42756404.32877105929895772140652401,42756404.32877105929895772140652401
1641495285,12470305.70275908326813067462483416,42002539.3450591727053407764694523,42002539.3450591727053407764694523
1641589913,11938762.25789400304605019396396373,41472074.98972177010332059812558239,41472074.98972177010332059812558239
1641681256,11531208.205866794824535616393824,41074899.21269619524771711756669636,41074899.21269619524771711756669636
1641743096,11522103.85081125184514011041782996,41087049.1493547580180178596847173,41087049.1493547580180178596847173
1641857050,11496892.31041568708143568987713636,40500316.46861696694664954070011024,40500316.46861696694664954070011024
1641941868,10971788.4644725222434360947349104,40794043.74829580321594294753146055,40794043.74829580321594294753146055
1642030650,11169832.54274168534114452632644412,41346888.60275371156655460363728556,41346888.60275371156655460363728556
1642110360,11133119.47323632997742906579643835,42817446.1770169303089894111945832,42817446.1770169303089894111945832
1642203097,13177778.87128891214348242473725288,46014932.265860095080511727618169,46014932.265860095080511727618169
1642285821,13925827.82333408581084712807974548,47288777.63044720554903750737957509,47288777.63044720554903750737957509
1642375896,14129994.04749430857794319263332578,47749728.61104042157554603176641489,47749728.61104042157554603176641489
1642452174,13975166.73791973679943211624519257,46950961.8882982444880128041658485,46950961.8882982444880128041658485
1642545081,14178552.82606068021515136362909291,45775891.09520826740179784887210137,45775891.09520826740179784887210137
1642621167,14235491.18667502022895281991834114,44240875.47946218495504080325196348,44240875.47946218495504080325196348
1642718663,14246106.81761785666746206193200209,44542502.76108499526932151718623022,44542502.76108499526932151718623022
1642808738,13580732.51023996353731981605138395,40828505.47548438509425378008356137,40828505.47548438509425378008356137
1642874667,12723973.10224483541743961237668263,38724828.51746660211009671199651829,38724828.51746660211009671199651829
1642978410,12998205.43724420039898515943245456,40088018.08911509333604717493570682,40088018.08911509333604717493570682
1643064048,11423632.42667444387921705576969664,38825882.20733416171823090107266595,38825882.20733416171823090107266595
1643153949,13122928.53712404028534001328857714,41081983.80343479121685921733163375,41081983.80343479121685921733163375
1643201675,13051895.16052758059475711598544875,41300896.0460630430537536898262981,41300896.0460630430537536898262981
1643316811,12941727.92542503117170708629764892,41453747.49344997005194984107081401,41453747.49344997005194984107081401
1643414202,14850780.8917718573588119512343067,44163207.81146626538967276993982483,44163207.81146626538967276993982483
1643495533,12924859.68417030650887001690332811,43727818.46237159198268608277041832,43727818.46237159198268608277041832
1643576714,13662287.0602190223979189711279495,47389448.83487024669022228266366986,47389448.83487024669022228266366986
1643658266,15367146.65069182767302612008231783,49884629.41550755060810090564478214,49884629.41550755060810090564478214
1643756334,16066534.60279399470306221146861128,51910324.17994839432442343631644866,51910324.17994839432442343631644866
1643837997,16534918.55276520829252404367485293,52379342.87777585506223222616338465,52379342.87777585506223222616338465
1643910928,17802962.52045035142522267349442557,54036096.71346806464453059798690628,54036096.71346806464453059798690628
1644018050,24112915.51993360587212948217273202,64020322.03447352676198910603324805,64020322.03447352676198910603324805
1644105568,27708436.37858096866669837029633787,69457230.56887773052018952358655942,69457230.56887773052018952358655942
1644184236,27734090.91234659289828026281091112,69486952.2400256705632074584676705,69486952.2400256705632074584676705
1644274273,28050295.85319012419983121831309996,70684085.64560510790242207992099735,70684085.64560510790242207992099735
1644364085,29691213.50353126316386002435595711,73497526.55504750088134998581210358,73497526.55504750088134998581210358
1644434530,30920637.986033113489389542368063,77877512.70654491367844688860605956,77877512.70654491367844688860605956
1644524214,31283254.63595702696802052891834727,77879768.50821214207525061117781331,77879768.50821214207525061117781331
1644616489,30980539.86192571909512102459320372,82163377.10692493201726917217803667,82163377.10692493201726917217803667
1644710331,30250392.59470126958622261655378521,81977100.14400116825288825934617512,81977100.14400116825288825934617512
1644795668,30518995.5443706950992026136621884,82254565.7655082394833718636462439,82254565.7655082394833718636462439
1644867638,29004969.79770217888329213561193556,84566775.65915731746666527011234687,84566775.65915731746666527011234687
1644960869,29023500.85179331593713640230735965,85291730.545164559037104203819375,85291730.545164559037104203819375
1645054645,33065393.41894363777999647037744331,90796232.37910540596364092821218364,90796232.37910540596364092821218364
1645140948,36093587.05976353975408250986820676,102363103.0256615019241391889995685,102363103.0256615019241391889995685
1645228467,39370168.24997308246021789856341771,105826038.0304090079901579413215892,105826038.0304090079901579413215892
1645312125,40257203.82699165750377354425593615,106721087.9796617260906080105593029,106721087.9796617260906080105593029
1645387813,40445698.6860209939092346683131204,106476669.9345707015172932855535324,106476669.9345707015172932855535324
1645481163,42838770.66617344273878428157618814,98091555.7464861621523889052389595,98091555.7464861621523889052389595
1645572992,42290914.02278173170223805104269981,106579060.2681752302120604450088479,106579060.2681752302120604450088479
1645657069,41646367.05365890137754699694991094,104967019.7315584499919340232348446,104967019.7315584499919340232348446
1645746704,36988446.46364609606672050814741458,90718951.4053099438130809302690183,90718951.4053099438130809302690183
1645832925,34959903.50677164650911462498831967,86103246.20831385733423862680288587,86103246.20831385733423862680288587
1645902369,35077913.79345563588368665495474828,84150043.3825365425941226394510271,84150043.3825365425941226394510271
1646005050,33765318.00708595440818732520804821,89927169.65963712323762855768314886,89927169.65963712323762855768314886
1646077568,33296320.96934721499866683850014786,82665741.3070721388875029547787498,82665741.3070721388875029547787498
